Game,Trophy,Team,Team,First Year,Latest Year,Meetings
100 Miles of Hate,,Middle Tennessee,Western Kentucky,1914,2024,74
Air Force–Colorado State,Ram–Falcon Trophy,Air Force,Colorado State,1957,2024,62
Air Force–Hawaii,Kuter Trophy,Air Force,Hawaii,1966,2023,23
Akron–Kent State,Wagon Wheel,Akron,Kent State,1923,2024,67
Alabama–Clemson,,Alabama,Clemson,1900,2019,19
Alabama–Florida,,Alabama,Florida,1916,2021,42
Alabama–Georgia,,Alabama,Georgia,1895,2024,74
Alabama–Georgia Tech,,Alabama,Georgia Tech,1902,1984,52
Alabama–LSU,,Alabama,LSU,1895,2024,89
Alabama–Ole Miss,,Alabama,Ole Miss,1894,2023,71
Alabama–Penn State,,Alabama,Penn State,1959,2011,15
Apple Cup,Apple Cup Trophy,Washington,Washington State,1900,2024,116
Arizona–New Mexico,,Arizona,New Mexico,1908,2024,68
Arkansas–LSU,Golden Boot,Arkansas,LSU,1901,2024,70
Arkansas–Ole Miss,,Arkansas,Ole Miss,1908,2024,71
Arkansas–Texas,,Arkansas,Texas,1894,2024,80
Arkansas–Texas Tech,,Arkansas,Texas Tech,1957,2024,38
Army–Navy Game,Secretary's Trophy,Army,Navy,1890,2024,125
Army–Notre Dame,,Army,Notre Dame,1913,2024,52
Auburn–Clemson,,Auburn,Clemson,1899,2017,51
Auburn–Florida,,Auburn,Florida,1912,2019,84
Auburn–Georgia Tech,,Auburn,Georgia Tech,1892,2005,92
Auburn–Ole Miss,,Auburn,Ole Miss,1928,2023,48
Auburn–Tennessee,,Auburn,Tennessee,1900,2020,54
Auburn–Tulane,,Auburn,Tulane,1902,2019,38
Backyard Brawl,,Pittsburgh,West Virginia,1895,2024,107
Ball State–Northern Illinois,Bronze Stalk Trophy,Ball State,Northern Illinois,1941,2024,52
Battle for Highway 82,,Alabama,Mississippi State,1896,2023,108
Battle for Nevada,Fremont Cannon,Nevada,UNLV,1969,2024,50
Battle for the Bell,Victory Bell,Cincinnati,Miami (OH),1888,2024,128
Battle for the Bell,The Bell,Marshall,Ohio,1905,2019,60
Battle for the Bell,The Bell,Southern Miss,Tulane,1979,2023,33
Battle for the Belt,The Belt,South Alabama,Troy,2012,2024,13
Battle for the Bones,The Bones,Memphis,UAB,1997,2024,17
Battle for the Iron Skillet,Iron Skillet,SMU,TCU,1915,2024,103
Battle for the Palladium,The Palladium Trophy,Middle Tennessee,Troy,1936,2020,21
Battle for the Rag,Tiger Rag,LSU,Tulane,1893,2009,98
Battle for the Valley,Valley Trophy,Fresno State,San José State,1921,2024,87
Battle Line Rivalry,Battle Line Trophy,Arkansas,Missouri,1906,2024,16
Battle of I-10,Silver Spade,New Mexico State,UTEP,1914,2024,101
Battle of the Brazos,,Baylor,Texas A&M,1899,2011,108
Battle of the Bricks,,Miami (OH),Ohio,1908,2024,101
Battle of the Brothers,,Utah,Utah State,1892,2024,113
Battle of the Carolinas,,North Carolina,South Carolina,1903,2023,60
Battle on the Bayou,Wooden Boot,Louisiana,Louisiana–Monroe,1951,2024,60
Baylor–Houston,,Baylor,Houston,1950,2024,30
Baylor–Texas,,Baylor,Texas,1901,2023,113
Baylor–Texas Tech,,Baylor,Texas Tech,1929,2024,83
Bedlam Series,Bedlam Bell,Oklahoma,Oklahoma State,1904,2023,118
Big Game,The Axe,California,Stanford,1892,2024,131
Bill Walsh Legacy Game,,San José State,Stanford,1900,2024,68
Black and Blue Bowl,,Memphis,Southern Miss,1935,2012,63
Bluebonnet Battle,Bluebonnet Shield,Baylor,TCU,1899,2024,120
Boise State–Fresno State,Milk Can,Boise State,Fresno State,1977,2023,25
Boise State–Nevada,,Boise State,Nevada,1971,2024,46
Border War,Bronze Boot,Colorado State,Wyoming,1899,2024,116
Border War,Indian War Drum; Lamar Hunt Trophy,Kansas,Missouri,1891,2011,120
Boston College–Clemson,O'Rourke–McFadden Trophy,Boston College,Clemson,1940,2022,32
Boston College–UMass,,Boston College,UMass,1899,2021,28
Boston College–Virginia Tech,,Boston College,Virginia Tech,1993,2024,33
Bowling Green–Kent State,Anniversary Award,Bowling Green,Kent State,1920,2024,92
Bowling Green–Toledo,Battle of I-75 Trophy,Bowling Green,Toledo,1919,2024,89
Bridger's Battle,Bridger Rifle,Utah State,Wyoming,1903,2024,73
BYU–Utah State,The Old Wagon Wheel,BYU,Utah State,1922,2022,91
California–UCLA,,California,UCLA,1933,2023,94
Central Michigan–Eastern Michigan,,Central Michigan,Eastern Michigan,1902,2024,102
Central Michigan–Western Michigan,Victory Cannon,Central Michigan,Western Michigan,1907,2024,95
Centre–Kentucky,,Centre,Kentucky,1891,1929,35
Chicago–Michigan,,Chicago,Michigan,1892,1939,26
Chicago–Purdue,,Chicago,Purdue,1892,1936,42
Cincinnati–Louisville,The Keg of Nails,Cincinnati,Louisville,1929,2022,54
Cincinnati–Memphis,,Cincinnati,Memphis,1966,2020,37
Cincinnati–UCF,,Cincinnati,UCF,2015,2024,10
Cincinnati–West Virginia,,Cincinnati,West Virginia,1921,2024,22
"Clean, Old-Fashioned Hate",Governor's Cup,Georgia,Georgia Tech,1893,2024,118
Clemson–Florida State,,Clemson,Florida State,1970,2024,37
Clemson–Georgia,,Clemson,Georgia,1897,2024,66
Clemson–Georgia Tech,,Clemson,Georgia Tech,1898,2023,89
Coastal Carolina–Liberty,,Coastal Carolina,Liberty,2003,2020,15
Colorado–Kansas State,,Colorado,Kansas State,1912,2024,67
Colorado–Nebraska,,Colorado,Nebraska,1898,2024,73
Crab Bowl Classic,Crab Bowl Trophy,Maryland,Navy,1905,2010,21
Deeper than Hate,,Appalachian State,Georgia Southern,1932,2024,40
Deep South's Oldest Rivalry,,Auburn,Georgia,1892,2024,129
Dick Tomey Legacy Game,Dick Tomey Legacy Trophy,Hawaii,San José State,1936,2023,46
Duel in the Desert,Territorial Cup,Arizona,Arizona State,1899,2024,98
Duke–North Carolina,Victory Bell,Duke,North Carolina,1888,2024,111
East Carolina–Marshall,,East Carolina,Marshall,1967,2023,17
East Carolina–NC State,Victory Barrel,East Carolina,NC State,1970,2024,33
Egg Bowl,Golden Egg Trophy,Mississippi State,Ole Miss,1901,2024,121
Farmageddon,,Iowa State,Kansas State,1917,2024,108
Florida–Florida State,"Makala Trophy,Florida Cup",Florida,Florida State,1958,2024,68
Florida–Georgia,Okefenokee Oar,Florida,Georgia,1915,2024,102
Florida–Kentucky,,Florida,Kentucky,1917,2024,75
